track_id,Genotype,start,end,duration
1406,WT,28,36,15
1407,WT,28,28,1
1408,WT,29,29,1
1409,WT,29,30,2
1410,WT,29,41,13
1411,WT,29,31,3
1412,WT,30,30,1
1413,WT,30,30,1
1414,WT,31,33,3
1415,WT,31,32,2
1416,WT,31,31,1
1417,WT,31,31,1
1418,WT,31,32,2
1419,WT,32,32,1
1420,WT,32,34,3
1421,WT,33,36,4
1422,WT,33,43,11
1423,WT,33,34,2
1424,WT,34,35,2
1425,WT,34,35,2
1426,WT,35,38,4
1427,WT,35,35,1
1428,WT,36,37,2
1429,WT,36,36,1
1430,WT,37,38,2
1431,WT,37,37,1
1432,WT,37,37,1
1433,WT,37,37,1
1434,WT,38,39,2
1435,WT,38,41,4
1436,WT,38,38,1
1437,WT,39,40,2
1438,WT,39,40,2
1439,WT,39,40,2
1440,WT,40,68,29
1441,WT,40,40,1
1442,WT,40,40,1
1443,WT,40,41,2
1444,WT,40,41,2
1445,WT,40,41,2
1446,WT,41,41,1
1447,WT,42,42,1
1448,WT,42,68,56
1449,WT,42,42,1
1450,WT,42,43,2
1451,WT,42,43,2
1452,WT,42,43,2
1453,WT,43,43,1
1454,WT,44,45,2
1455,WT,44,46,6
1456,WT,44,44,1
1457,WT,45,53,9
1458,WT,45,45,1
1459,WT,46,46,1
1460,WT,46,46,1
1461,WT,46,71,26
1462,WT,46,47,2
1463,WT,47,48,2
1464,WT,47,47,1
1465,WT,48,49,2
1466,WT,48,48,1
1467,WT,48,48,1
1468,WT,48,55,8
1469,WT,48,48,1
1470,WT,49,74,35
1471,WT,50,57,8
1472,WT,50,50,1
1473,WT,51,53,3
1474,WT,51,51,1
1475,WT,51,51,1
1476,WT,51,52,2
1477,WT,52,55,4
1478,WT,52,52,1
1479,WT,52,53,2
1480,WT,53,53,1
1481,WT,53,56,4
1482,WT,53,53,1
1483,WT,54,54,1
1484,WT,54,54,1
1485,WT,55,66,12
1486,WT,55,64,13
1487,WT,55,55,1
1488,WT,55,58,4
1489,WT,55,55,1
1490,WT,55,55,1
1491,WT,56,57,2
1492,WT,56,59,4
1493,WT,57,61,14
1494,WT,57,57,1
1495,WT,58,77,47
1496,WT,58,79,22
1497,WT,58,59,2
1498,WT,59,66,8
1499,WT,59,59,1
1500,WT,59,59,1
1501,WT,59,79,39
1502,WT,60,60,1
1503,WT,60,60,1
1504,WT,60,60,1
1505,WT,60,60,1
1506,WT,60,60,1
1507,WT,60,60,1
1508,WT,60,61,2
1509,WT,61,61,1
1510,WT,61,61,1
1511,WT,62,63,2
1512,WT,62,62,1
1513,WT,62,70,9
1514,WT,63,64,2
1515,WT,63,68,9
1516,WT,64,70,7
1517,WT,64,66,3
1518,WT,64,64,1
1519,WT,65,67,3
1520,WT,65,65,1
1521,WT,65,78,14
1522,WT,65,65,1
1523,WT,65,65,1
1524,WT,65,65,1
1525,WT,66,66,1
1526,WT,66,66,1
1527,WT,67,71,5
1528,WT,67,69,3
1529,WT,68,68,1
1530,WT,68,68,1
1531,WT,68,68,1
1532,WT,68,79,15
1533,WT,69,69,1
1534,WT,69,69,1
1535,WT,69,75,7
1536,WT,69,70,2
1537,WT,69,69,1
1538,WT,69,69,1
1539,WT,69,70,2
1540,WT,70,79,25
1541,WT,70,74,5
1542,WT,70,71,5
1543,WT,70,71,2
1544,WT,70,70,1
1545,WT,70,70,1
1546,WT,70,70,1
1547,WT,70,70,1
1548,WT,71,71,1
1549,WT,71,71,1
1550,WT,71,71,1
1551,WT,71,71,1
1552,WT,72,77,12
1553,WT,72,79,33
1554,WT,72,76,5
1555,WT,72,72,1
1556,WT,72,72,1
1557,WT,72,74,3
1558,WT,72,74,3
1559,WT,72,72,1
1560,WT,72,72,1
1561,WT,72,76,5
1562,WT,72,75,4
1563,WT,73,73,1
1564,WT,73,79,7
1565,WT,73,79,7
1566,WT,74,75,2
1567,WT,74,74,1
1568,WT,74,74,1
1569,WT,74,74,1
1570,WT,74,75,2
1571,WT,75,79,5
1572,WT,75,77,3
1573,WT,75,75,1
1574,WT,76,79,10
1575,WT,77,79,3
1576,WT,77,77,1
1577,WT,78,78,1
1578,WT,78,78,1
1579,WT,78,79,2
1580,WT,78,78,1
1581,WT,78,78,1
1582,WT,78,78,1
1583,WT,79,79,1
1584,WT,79,79,1
1585,WT,79,79,1
1586,WT,79,79,1
1587,WT,79,79,1
1588,WT,0,0,1
1589,WT,0,2,3
1590,WT,0,1,2
1591,WT,0,2,3
1592,WT,0,27,28
1593,WT,0,32,91
1594,WT,0,34,71
1595,WT,0,0,1
1596,WT,0,64,237
1597,WT,0,0,1
1598,WT,0,3,4
1599,WT,0,0,1
1600,WT,0,31,260
1601,WT,0,3,4
1602,WT,0,26,30
1603,WT,0,0,1
1604,WT,0,4,5
1605,WT,1,37,99
1606,WT,1,1,1
1607,WT,1,47,109
1608,WT,2,23,45
1609,WT,2,2,1
1610,WT,2,2,1
1611,WT,3,3,1
1612,WT,3,23,33
1613,WT,3,3,1
1614,WT,4,10,7
1615,WT,4,4,1
1616,WT,4,4,1
1617,WT,5,5,1
1618,WT,5,5,1
1619,WT,5,5,1
1620,WT,6,6,1
1621,WT,6,7,2
1622,WT,6,11,6
1623,WT,6,9,4
1624,WT,6,6,1
1625,WT,6,7,2
1626,WT,7,8,2
1627,WT,7,7,1
1628,WT,8,8,1
1629,WT,8,20,40
1630,WT,8,8,1
1631,WT,8,8,1
1632,WT,8,8,1
1633,WT,9,9,1
1634,WT,9,51,126
1635,WT,9,24,16
1636,WT,10,23,14
1637,WT,10,15,9
1638,WT,11,11,1
1639,WT,11,11,1
1640,WT,12,13,2
1641,WT,12,12,1
1642,WT,12,12,1
1643,WT,13,15,3
1644,WT,13,13,1
1645,WT,15,20,9
1646,WT,17,29,13
1647,WT,17,34,24
1648,WT,18,18,1
1649,WT,18,18,1
1650,WT,19,19,1
1651,WT,19,46,85
1652,WT,19,19,1
1653,WT,19,19,1
1654,WT,20,25,6
1655,WT,21,21,1
1656,WT,21,23,3
1657,WT,23,23,1
1658,WT,23,25,3
1659,WT,23,23,1
1660,WT,24,24,1
1661,WT,24,24,1
1662,WT,24,26,3
1663,WT,24,34,23
1664,WT,25,29,8
1665,WT,26,26,1
1666,WT,26,26,1
1667,WT,26,26,1
1668,WT,26,30,8
1669,WT,27,46,23
1670,WT,27,27,1
1671,WT,28,37,10
1672,WT,28,43,16
1673,WT,28,28,1
1674,WT,29,29,1
1675,WT,29,30,2
1676,WT,29,36,11
1677,WT,29,30,2
1678,WT,30,34,5
1679,WT,31,31,1
1680,WT,31,33,6
1681,WT,32,41,10
1682,WT,32,36,5
1683,WT,32,32,1
1684,WT,32,39,8
1685,WT,33,36,4
1686,WT,33,37,5
1687,WT,33,64,116
1688,WT,33,33,1
1689,WT,33,36,4
1690,WT,33,33,1
1691,WT,33,33,1
1692,WT,34,34,1
1693,WT,34,34,1
1694,WT,34,35,2
1695,WT,34,34,1
1696,WT,35,35,1
1697,WT,35,36,2
1698,WT,35,38,4
1699,WT,36,37,2
1700,WT,36,43,8
1701,WT,36,36,1
1702,WT,36,36,1
1703,WT,37,37,1
1704,WT,37,45,21
1705,WT,38,38,1
1706,WT,38,38,1
1707,WT,38,38,1
1708,WT,38,42,5
1709,WT,39,39,1
1710,WT,39,39,1
1711,WT,39,51,25
1712,WT,39,41,3
1713,WT,39,40,2
1714,WT,40,41,2
1715,WT,40,41,2
1716,WT,40,40,1
1717,WT,40,41,2
1718,WT,41,41,1
1719,WT,41,48,14
1720,WT,41,64,30
1721,WT,41,41,1
1722,WT,41,42,2
1723,WT,41,41,1
1724,WT,42,42,1
1725,WT,42,43,2
1726,WT,43,47,5
1727,WT,43,64,34
1728,WT,43,45,6
1729,WT,43,45,3
1730,WT,44,44,1
1731,WT,44,44,1
1732,WT,44,46,6
1733,WT,44,45,2
1734,WT,44,45,2
1735,WT,44,44,1
1736,WT,45,45,1
1737,WT,45,56,15
1738,WT,45,56,49
1739,WT,45,45,1
1740,WT,45,45,1
1741,WT,45,45,1
1742,WT,45,45,1
1743,WT,45,45,1
1744,WT,46,52,7
1745,WT,46,50,5
1746,WT,47,47,1
1747,WT,47,47,1
1748,WT,47,48,2
1749,WT,47,48,5
1750,WT,47,49,3
1751,WT,47,48,2
1752,WT,47,50,7
1753,WT,47,47,1
1754,WT,48,53,6
1755,WT,48,49,2
1756,WT,49,51,3
1757,WT,49,49,1
1758,WT,49,55,10
1759,WT,49,49,1
1760,WT,50,50,1
1761,WT,50,51,2
1762,WT,50,51,2
1763,WT,50,50,1
1764,WT,50,64,18
1765,WT,50,51,2
1766,WT,51,51,1
1767,WT,51,51,1
1768,WT,51,51,1
1769,WT,51,51,1
1770,WT,51,52,2
1771,WT,51,52,2
1772,WT,52,52,1
1773,WT,52,53,2
1774,WT,52,52,1
1775,WT,53,53,1
1776,WT,53,57,5
1777,WT,53,55,3
1778,WT,53,64,55
1779,WT,53,55,3
1780,WT,53,53,1
1781,WT,53,54,2
1782,WT,53,56,7
1783,WT,53,53,1
1784,WT,54,54,1
1785,WT,54,54,1
1786,WT,54,54,1
1787,WT,54,59,9
1788,WT,55,56,2
1789,WT,55,56,2
1790,WT,55,55,1
1791,WT,55,55,1
1792,WT,55,57,6
1793,WT,56,57,2
1794,WT,56,56,1
1795,WT,56,57,2
1796,WT,56,60,8
1797,WT,56,56,1
1798,WT,56,56,1
1799,WT,56,56,1
1800,WT,56,57,2
1801,WT,57,57,1
1802,WT,57,57,1
1803,WT,57,57,1
1804,WT,57,57,1
1805,WT,57,57,1
1806,WT,58,61,4
1807,WT,58,64,7
1808,WT,58,58,1
1809,WT,59,59,1
1810,WT,59,59,1
1811,WT,59,64,6
1812,WT,59,59,1
1813,WT,59,59,1
1814,WT,59,62,4
1815,WT,59,59,1
1816,WT,60,60,1
1817,WT,61,61,1
1818,WT,61,64,4
1819,WT,61,62,2
1820,WT,61,63,6
1821,WT,61,61,1
1822,WT,61,62,5
1823,WT,62,62,1
1824,WT,62,62,1
1825,WT,62,62,1
1826,WT,62,62,1
1827,WT,62,64,3
1828,WT,63,64,2
1829,WT,63,64,2
1830,WT,63,64,2
1831,WT,63,64,2
1832,WT,63,63,1
1833,WT,64,64,1
1834,WT,64,64,1
1835,WT,64,64,1
1836,WT,64,64,1
1837,WT,0,6,4
1838,WT,0,10,6
1839,WT,0,10,6
1840,WT,0,8,5
1841,WT,0,2,2
1842,WT,0,0,1
1843,WT,0,6,4
1844,WT,0,22,12
1845,WT,0,6,4
1846,WT,0,8,11
1847,WT,0,48,55
1848,WT,0,4,6
1849,WT,0,14,31
1850,WT,0,8,5
1851,WT,0,12,26
1852,WT,0,52,107
1853,WT,0,22,15
1854,WT,0,101,108
1855,WT,0,2,2
1856,WT,0,10,6
1857,WT,0,101,115
1858,WT,0,18,25
1859,WT,2,2,1
1860,WT,2,2,1
1861,WT,4,50,53
1862,WT,4,6,2
1863,WT,4,4,1
1864,WT,4,4,1
1865,WT,6,6,1
1866,WT,8,12,6
1867,WT,8,10,2
1868,WT,10,14,3
1869,WT,10,10,1
1870,WT,10,16,4
1871,WT,10,14,3
1872,WT,10,10,1
1873,WT,12,12,1
1874,WT,12,14,2
1875,WT,12,12,1
1876,WT,12,16,3
1877,WT,14,28,8
1878,WT,14,18,3
1879,WT,14,14,1
1880,WT,14,14,1
1881,WT,16,20,3
1882,WT,16,16,1
1883,WT,16,18,2
1884,WT,16,22,4
1885,WT,18,20,2
1886,WT,18,22,3
1887,WT,18,38,11
1888,WT,18,18,1
1889,WT,18,18,1
1890,WT,20,30,6
1891,WT,20,20,1
1892,WT,20,20,1
1893,WT,20,20,1
1894,WT,22,22,1
1895,WT,22,24,2
1896,WT,22,34,10
1897,WT,24,24,1
1898,WT,24,44,20
1899,WT,24,24,1
